image,condition,ground_truth_tampered,predicted_tampered,severity,tamper_ratio
kodim04.png,blur_region_64,True,False,,0.0013
kodim04.png,splice_64,True,True,low,0.0163
kodim04.png,paste_block_128,True,True,low,0.0202
kodim04.png,copy_move_128,True,True,low,0.0527
kodim04.png,blur_region_128,True,True,low,0.0247
kodim04.png,splice_128,True,True,low,0.0527
kodim04.png,global_brightness,True,False,,0.0
kodim04.png,salt_pepper_2pct,True,True,high,0.9987
kodim05.png,untampered,False,False,,0.0
kodim05.png,paste_block_32,True,False,,0.0039
kodim05.png,copy_move_32,True,False,,0.0059
kodim05.png,blur_region_32,True,False,,0.0033
kodim05.png,splice_32,True,False,,0.0052
kodim05.png,paste_block_64,True,False,,0.0098
kodim05.png,copy_move_64,True,True,low,0.015
kodim05.png,blur_region_64,True,True,low,0.0124
kodim05.png,splice_64,True,True,low,0.0163
kodim05.png,paste_block_128,True,False,,0.0098
kodim05.png,copy_move_128,True,True,low,0.0508
kodim05.png,blur_region_128,True,True,low,0.0436
kodim05.png,splice_128,True,True,low,0.0527
kodim05.png,global_brightness,True,False,,0.0
kodim05.png,salt_pepper_2pct,True,True,high,0.9798
kodim06.png,untampered,False,False,,0.0
kodim06.png,paste_block_32,True,False,,0.0046
kodim06.png,copy_move_32,True,False,,0.0059
kodim06.png,blur_region_32,True,False,,0.0033
kodim06.png,splice_32,True,False,,0.0052
kodim06.png,paste_block_64,True,False,,0.0085
kodim06.png,copy_move_64,True,True,low,0.013
kodim06.png,blur_region_64,True,True,low,0.0124
kodim06.png,splice_64,True,True,low,0.013
kodim06.png,paste_block_128,True,True,low,0.0189
kodim06.png,copy_move_128,True,True,low,0.0527
kodim06.png,blur_region_128,True,True,low,0.0469
kodim06.png,splice_128,True,True,low,0.0521
kodim06.png,global_brightness,True,True,low,0.084
kodim06.png,salt_pepper_2pct,True,True,high,0.9915
kodim07.png,untampered,False,False,,0.0
kodim07.png,paste_block_32,True,False,,0.0046
kodim07.png,copy_move_32,True,False,,0.0052
kodim07.png,blur_region_32,True,False,,0.0033
kodim07.png,splice_32,True,False,,0.0059
kodim07.png,paste_block_64,True,True,low,0.0104
kodim07.png,copy_move_64,True,True,low,0.0156
kodim07.png,blur_region_64,True,True,low,0.0124
kodim07.png,splice_64,True,True,low,0.0163
kodim07.png,paste_block_128,True,True,low,0.0189
kodim07.png,copy_move_128,True,True,low,0.0521
kodim07.png,blur_region_128,True,True,low,0.0358
kodim07.png,splice_128,True,True,low,0.0527
kodim07.png,global_brightness,True,False,,0.0
kodim07.png,salt_pepper_2pct,True,True,high,0.9974
kodim08.png,untampered,False,False,,0.0
kodim08.png,paste_block_32,True,False,,0.0039
kodim08.png,copy_move_32,True,False,,0.0059
kodim08.png,blur_region_32,True,False,,0.0039
kodim08.png,splice_32,True,False,,0.0059
kodim08.png,paste_block_64,True,True,low,0.0104
kodim08.png,copy_move_64,True,True,low,0.0143
kodim08.png,blur_region_64,True,True,low,0.0137
kodim08.png,splice_64,True,True,low,0.015
kodim08.png,paste_block_128,True,True,low,0.0104
kodim08.png,copy_move_128,True,True,low,0.0527
kodim08.png,blur_region_128,True,True,low,0.0469
kodim08.png,splice_128,True,True,low,0.0521
kodim08.png,global_brightness,True,False,,0.0013
kodim08.png,salt_pepper_2pct,True,True,high,0.9727
kodim09.png,untampered,False,False,,0.0
kodim09.png,paste_block_32,True,False,,0.0033
kodim09.png,copy_move_32,True,False,,0.0039
kodim09.png,blur_region_32,True,False,,0.0033
kodim09.png,splice_32,True,False,,0.0039
kodim09.png,paste_block_64,True,False,,0.0052
kodim09.png,copy_move_64,True,True,low,0.0163
kodim09.png,blur_region_64,True,True,low,0.0124
kodim09.png,splice_64,True,True,low,0.0163
kodim09.png,paste_block_128,True,False,,0.0052
kodim09.png,copy_move_128,True,True,low,0.0527
kodim09.png,blur_region_128,True,True,low,0.0417
kodim09.png,splice_128,True,True,low,0.0527
kodim09.png,global_brightness,True,False,,0.0
kodim09.png,salt_pepper_2pct,True,True,high,0.9974
kodim10.png,untampered,False,False,,0.0
kodim10.png,paste_block_32,True,False,,0.0052
kodim10.png,copy_move_32,True,False,,0.0059
kodim10.png,blur_region_32,True,False,,0.0039
kodim10.png,splice_32,True,False,,0.0059
kodim10.png,paste_block_64,True,True,low,0.0104
kodim10.png,copy_move_64,True,True,low,0.0156
kodim10.png,blur_region_64,True,True,low,0.0111
kodim10.png,splice_64,True,True,low,0.0163
kodim10.png,paste_block_128,True,True,low,0.0208
kodim10.png,copy_move_128,True,True,low,0.0521
kodim10.png,blur_region_128,True,True,low,0.0443
kodim10.png,splice_128,True,True,low,0.0508
kodim10.png,global_brightness,True,False,,0.0007
kodim10.png,salt_pepper_2pct,True,True,high,0.9941
kodim11.png,untampered,False,False,,0.0
kodim11.png,paste_block_32,True,False,,0.0052
kodim11.png,copy_move_32,True,False,,0.0059
kodim11.png,blur_region_32,True,False,,0.0039
kodim11.png,splice_32,True,False,,0.0059
kodim11.png,paste_block_64,True,True,low,0.0104
kodim11.png,copy_move_64,True,True,low,0.0137
kodim11.png,blur_region_64,True,True,low,0.013
kodim11.png,splice_64,True,True,low,0.0163
kodim11.png,paste_block_128,True,True,low,0.0208
kodim11.png,copy_move_128,True,True,low,0.0527
kodim11.png,blur_region_128,True,True,low,0.0449
kodim11.png,splice_128,True,True,low,0.0521
kodim11.png,global_brightness,True,False,,0.0
kodim11.png,salt_pepper_2pct,True,True,high,0.9961
kodim12.png,untampered,False,False,,0.0
kodim12.png,paste_block_32,True,False,,0.0052
kodim12.png,copy_move_32,True,False,,0.0052
kodim12.png,blur_region_32,True,False,,0.0039
kodim12.png,splice_32,True,False,,0.0059
kodim12.png,paste_block_64,True,False,,0.0085
kodim12.png,copy_move_64,True,True,low,0.0163
kodim12.png,blur_region_64,True,True,low,0.0137
kodim12.png,splice_64,True,True,low,0.0163
kodim12.png,paste_block_128,True,True,low,0.0202
kodim12.png,copy_move_128,True,True,low,0.0527
kodim12.png,blur_region_128,True,True,low,0.0449
kodim12.png,splice_128,True,True,low,0.0527
kodim12.png,global_brightness,True,True,low,0.0189
kodim12.png,salt_pepper_2pct,True,True,high,0.9954
kodim13.png,untampered,False,False,,0.0
kodim13.png,paste_block_32,True,False,,0.0052
kodim13.png,copy_move_32,True,False,,0.0059
kodim13.png,blur_region_32,True,False,,0.0046
kodim13.png,splice_32,True,False,,0.0059
kodim13.png,paste_block_64,True,False,,0.0052
kodim13.png,copy_move_64,True,True,low,0.015
kodim13.png,blur_region_64,True,True,low,0.0104
kodim13.png,splice_64,True,True,low,0.013
kodim13.png,paste_block_128,True,True,low,0.0208
kodim13.png,copy_move_128,True,True,low,0.0469
kodim13.png,blur_region_128,True,True,low,0.0527
kodim13.png,splice_128,True,True,low,0.0469
kodim13.png,global_brightness,True,False,,0.0026
kodim13.png,salt_pepper_2pct,True,True,high,0.9915
kodim14.png,untampered,False,False,,0.0
kodim14.png,paste_block_32,True,False,,0.0033
kodim14.png,copy_move_32,True,False,,0.0059
kodim14.png,blur_region_32,True,False,,0.0033
kodim14.png,splice_32,True,False,,0.0059
kodim14.png,paste_block_64,True,False,,0.0098
kodim14.png,copy_move_64,True,True,low,0.0163
kodim14.png,blur_region_64,True,True,low,0.0111
kodim14.png,splice_64,True,True,low,0.0163
kodim14.png,paste_block_128,True,True,low,0.0163
kodim14.png,copy_move_128,True,True,low,0.0527
kodim14.png,blur_region_128,True,True,low,0.0469
kodim14.png,splice_128,True,True,low,0.0527
kodim14.png,global_brightness,True,False,,0.0
kodim14.png,salt_pepper_2pct,True,True,high,0.9974
kodim15.png,untampered,False,False,,0.0
kodim15.png,paste_block_32,True,False,,0.0052
kodim15.png,copy_move_32,True,False,,0.0059
kodim15.png,blur_region_32,True,False,,0.0039
kodim15.png,splice_32,True,False,,0.0059
kodim15.png,paste_block_64,True,True,low,0.0104
kodim15.png,copy_move_64,True,True,low,0.0163
kodim15.png,blur_region_64,True,True,low,0.0163
kodim15.png,splice_64,True,True,low,0.0156
kodim15.png,paste_block_128,True,True,low,0.0208
kodim15.png,copy_move_128,True,True,low,0.0521
kodim15.png,blur_region_128,True,True,low,0.0482
kodim15.png,splice_128,True,True,low,0.0521
kodim15.png,global_brightness,True,True,medium,0.125
kodim15.png,salt_pepper_2pct,True,True,high,0.987
kodim16.png,untampered,False,False,,0.0
kodim16.png,paste_block_32,True,False,,0.0052
kodim16.png,copy_move_32,True,False,,0.0052
kodim16.png,blur_region_32,True,False,,0.0046
kodim16.png,splice_32,True,False,,0.0052
kodim16.png,paste_block_64,True,False,,0.0039
kodim16.png,copy_move_64,True,True,low,0.0163
kodim16.png,blur_region_64,True,True,low,0.0104
kodim16.png,splice_64,True,True,low,0.0163
kodim16.png,paste_block_128,True,True,low,0.0208
kodim16.png,copy_move_128,True,True,low,0.0527
kodim16.png,blur_region_128,True,True,low,0.0521
kodim16.png,splice_128,True,True,low,0.0527
kodim16.png,global_brightness,True,False,,0.0052
kodim16.png,salt_pepper_2pct,True,True,high,1.0
kodim17.png,untampered,False,False,,0.0
kodim17.png,paste_block_32,True,False,,0.0046
kodim17.png,copy_move_32,True,False,,0.0039
kodim17.png,blur_region_32,True,False,,0.0026
kodim17.png,splice_32,True,False,,0.0039
kodim17.png,paste_block_64,True,True,low,0.0104
kodim17.png,copy_move_64,True,True,low,0.0124
kodim17.png,blur_region_64,True,True,low,0.0137
kodim17.png,splice_64,True,True,low,0.013
kodim17.png,paste_block_128,True,True,low,0.0208
kodim17.png,copy_move_128,True,True,low,0.0469
kodim17.png,blur_region_128,True,True,low,0.041
kodim17.png,splice_128,True,True,low,0.0469
kodim17.png,global_brightness,True,False,,0.0
kodim17.png,salt_pepper_2pct,True,True,high,0.9941
kodim18.png,untampered,False,False,,0.0
kodim18.png,paste_block_32,True,False,,0.0052
kodim18.png,copy_move_32,True,False,,0.0059
